Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1686.021484375
FDW14,OUT017,1610.294921875
NCN55,OUT010,2523.474609375
FDQ58,OUT017,2099.982421875
FDY38,OUT027,5236.666015625
FDH56,OUT046,1962.029296875
FDL48,OUT018,280.833984375
FDC48,OUT027,3246.607421875
FDN33,OUT045,899.611328125
FDA36,OUT017,2218.998046875
FDT44,OUT017,1652.287109375
FDQ56,OUT045,1741.767578125
NCC54,OUT019,2290.228515625
FDU11,OUT049,1821.458984375
DRL59,OUT013,1594.119140625
FDM24,OUT049,1956.849609375
FDI57,OUT045,3831.708984375
DRC12,OUT018,1864.173828125
NCM42,OUT027,2814.490234375
FDA46,OUT010,1573.908203125
FDA31,OUT013,2386.431640625
NCJ31,OUT035,3486.935546875
FDG52,OUT046,483.525390625
NCL19,OUT019,339.599609375
FDS10,OUT035,3004.220703125
FDX22,OUT010,1671.517578125
NCF19,OUT035,906.193359375
NCE06,OUT046,1734.724609375
DRC27,OUT046,3062.345703125
FDE21,OUT035,1943.310546875
NCR42,OUT019,0.0
FDX51,OUT018,2570.326171875
NCR06,OUT018,297.228515625
FDU31,OUT027,4379.193359375
FDU59,OUT017,3014.056640625
FDR03,OUT027,5536.302734375
FDS49,OUT027,2935.509765625
FDD48,OUT010,243.310546875
NCF18,OUT017,3920.529296875
NCD43,OUT027,2898.994140625
NCD54,OUT018,1973.224609375
FDY19,OUT010,566.583984375
NCY54,OUT017,3012.134765625
NCL19,OUT018,1934.287109375
FDP23,OUT010,1464.146484375
FDC26,OUT013,1609.708984375
FDR14,OUT010,0.0
NCS41,OUT035,1415.236328125
FDF41,OUT035,3924.048828125
FDU34,OUT046,2062.341796875
DRH11,OUT046,562.263671875
FDM03,OUT013,1378.701171875
FDS31,OUT017,2780.849609375
FDJ20,OUT017,1910.669921875
FDV44,OUT027,3797.818359375
FDG02,OUT049,2150.775390625
FDA09,OUT013,3104.708984375
FDT04,OUT013,901.681640625
FDL58,OUT019,2161.228515625
FDE52,OUT045,1954.447265625
FDW12,OUT035,2193.935546875
FDL51,OUT017,2947.876953125
NCY42,OUT027,4038.728515625
FDR07,OUT017,1427.228515625
FDN40,OUT045,2357.697265625
FDB35,OUT027,3152.349609375
FDA22,OUT017,3470.412109375
NCL06,OUT046,3514.548828125
FDI35,OUT013,4010.224609375
NCW42,OUT045,3106.455078125
NCX06,OUT049,3106.556640625
FDC37,OUT027,3887.689453125
FDZ14,OUT018,1742.947265625
DRG49,OUT049,3946.654296875
NCG06,OUT045,2930.525390625
DRC36,OUT045,2601.876953125
FDV21,OUT019,243.181640625
FDB53,OUT046,3169.736328125
DRP47,OUT019,1813.119140625
FDA14,OUT013,1952.662109375
DRC24,OUT035,3395.466796875
FDW21,OUT018,1096.529296875
NCH29,OUT046,1823.986328125
FDU58,OUT013,2671.431640625
FDY27,OUT017,2136.615234375
FDV56,OUT035,656.763671875
FDT59,OUT046,3593.990234375
FDB23,OUT046,3639.291015625
FDR49,OUT045,975.400390625
FDB03,OUT010,1691.384765625
FDN39,OUT045,2484.400390625
FDX02,OUT027,5628.306640625
FDQ16,OUT027,3667.443359375
FDU35,OUT018,1714.185546875
NCT29,OUT013,1804.279296875
FDZ27,OUT046,816.462890625
FDN57,OUT017,2623.322265625
FDA03,OUT018,2009.724609375
FDZ36,OUT045,3480.564453125
NCU05,OUT013,1164.958984375
FDT39,OUT018,2217.373046875
FDK60,OUT017,1767.810546875
FDZ25,OUT017,3094.373046875
FDG12,OUT046,2182.208984375
DRB01,OUT019,0.0
NCC43,OUT027,4112.580078125
FDX13,OUT019,2567.751953125
FDM22,OUT049,1176.076171875
FDJ03,OUT027,2656.998046875
FDU14,OUT018,3902.478515625
FDB33,OUT010,1300.130859375
FDP27,OUT046,3212.455078125
FDO38,OUT010,0.0
FDE28,OUT027,5042.326171875
FDO27,OUT035,1690.876953125
DRL23,OUT027,3101.310546875
FDS28,OUT046,374.623046875
FDX24,OUT013,1506.275390625
FDZ02,OUT035,854.228515625
FDL46,OUT045,1239.482421875
FDS60,OUT027,3801.974609375
NCO06,OUT017,560.041015625
FDO16,OUT035,2259.283203125
FDC60,OUT049,2174.931640625
FDA48,OUT018,4069.056640625
FDZ36,OUT027,5004.232421875
FDK27,OUT045,1678.021484375
FDW23,OUT018,530.107421875
FDM14,OUT018,1317.822265625
FDM14,OUT013,1633.611328125
FDW60,OUT018,2420.537109375
FDE21,OUT013,1817.228515625
NCM42,OUT035,1531.333984375
FDY59,OUT010,0.0
DRI49,OUT049,1554.826171875
FDT28,OUT019,460.064453125
FDQ22,OUT018,0.0
